"Drive","Name","Size_KB","LastEdit","Path"
"H:\","microphonePermissions.tsx","1832,51","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\EAR_OS_RECONSTRUCCION_FINAL\public\data\microphonePermissions.tsx"
"H:\","microphonePermissions.tsx","1832,51","04/03/2026 14:59:26","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\microphonePermissions.tsx"
"H:\","microphonePermissions.tsx","1832,51","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\microphonePermissions.tsx"
"H:\","microphonePermissions.tsx","1832,51","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\microphonePermissions.tsx"
"D:\","microphonePermissions.tsx","1832,51","04/03/2026 14:59:26","D:\BACKUPS\EAR os posible recuperacion\00_PRODUCTORA_EAR\04_SISTEMA_SYM\Chrome_User_Data\Default\Extensions\oiiaigjnkhngdbnoookogelabohpglmd\3.1.0.40194_0\js\init\microphonePermissions.tsx"
"H:\","microphonePermissions.tsx","1832,51","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\microphonePermissions.tsx"
"H:\","microphonePermissions.tsx","1832,51","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\RESCATE_FINAL\PROYECTOS_CODE\microphonePermissions.tsx"
"H:\","microphonePermissions.tsx","1832,51","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\microphonePermissions.tsx"
"H:\","thirdPartyOffscreen.tsx","434,72","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\thirdPartyOffscreen.tsx"
"H:\","thirdPartyOffscreen.tsx","434,72","04/03/2026 14:59:26","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\thirdPartyOffscreen.tsx"
"H:\","thirdPartyOffscreen.tsx","434,72","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\EAR_OS_RECONSTRUCCION_FINAL\public\data\thirdPartyOffscreen.tsx"
"H:\","thirdPartyOffscreen.tsx","434,72","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\thirdPartyOffscreen.tsx"
"D:\","thirdPartyOffscreen.tsx","434,72","04/03/2026 14:59:26","D:\BACKUPS\EAR os posible recuperacion\00_PRODUCTORA_EAR\04_SISTEMA_SYM\Chrome_User_Data\Profile 4\Extensions\oiiaigjnkhngdbnoookogelabohpglmd\3.1.0.40194_0\js\init\thirdPartyOffscreen.tsx"
"D:\","thirdPartyOffscreen.tsx","434,72","04/03/2026 14:59:26","D:\BACKUPS\EAR os posible recuperacion\00_PRODUCTORA_EAR\04_SISTEMA_SYM\Chrome_User_Data\Default\Extensions\oiiaigjnkhngdbnoookogelabohpglmd\3.1.0.40194_0\js\init\thirdPartyOffscreen.tsx"
"H:\","thirdPartyOffscreen.tsx","434,72","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\thirdPartyOffscreen.tsx"
"H:\","thirdPartyOffscreen.tsx","434,72","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\thirdPartyOffscreen.tsx"
"H:\","thirdPartyOffscreen.tsx","434,72","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\RESCATE_FINAL\PROYECTOS_CODE\thirdPartyOffscreen.tsx"
"H:\","offscreen_a70fbf8e.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen_a70fbf8e.tsx"
"H:\","offscreen.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\RESCATE_FINAL\PROYECTOS_CODE\offscreen.tsx"
"H:\","offscreen_a70fbf8e.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen_a70fbf8e.tsx"
"H:\","offscreen.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen.tsx"
"H:\","offscreen.tsx","434,67","04/03/2026 14:59:26","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\offscreen.tsx"
"H:\","offscreen_a70fbf8e.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen_a70fbf8e.tsx"
"H:\","offscreen.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen.tsx"
"H:\","offscreen_a70fbf8e.tsx","434,67","04/03/2026 14:59:26","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\offscreen_a70fbf8e.tsx"
"D:\","offscreen.tsx","434,67","04/03/2026 14:59:26","D:\BACKUPS\EAR os posible recuperacion\00_PRODUCTORA_EAR\04_SISTEMA_SYM\Chrome_User_Data\Profile 4\Extensions\oiiaigjnkhngdbnoookogelabohpglmd\3.1.0.40194_0\js\init\offscreen.tsx"
"H:\","offscreen.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\offscreen.tsx"
"H:\","offscreen_a70fbf8e.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\offscreen_a70fbf8e.tsx"
"H:\","offscreen_a70fbf8e.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\offscreen_a70fbf8e.tsx"
"H:\","offscreen_a70fbf8e.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\RESCATE_FINAL\PROYECTOS_CODE\offscreen_a70fbf8e.tsx"
"D:\","offscreen.tsx","434,67","04/03/2026 14:59:26","D:\BACKUPS\EAR os posible recuperacion\00_PRODUCTORA_EAR\04_SISTEMA_SYM\Chrome_User_Data\Default\Extensions\oiiaigjnkhngdbnoookogelabohpglmd\3.1.0.40194_0\js\init\offscreen.tsx"
"H:\","offscreen.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen.tsx"
"H:\","offscreen.tsx","434,67","04/03/2026 14:59:26","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\offscreen.tsx"
"D:\","thirdPartyOffscreen.tsx","434,51","09/03/2026 14:20:50","D:\BACKUPS\EAR os posible recuperacion\00_PRODUCTORA_EAR\04_SISTEMA_SYM\Chrome_User_Data\Profile 4\Extensions\oiiaigjnkhngdbnoookogelabohpglmd\3.1.0.40259_0\js\init\thirdPartyOffscreen.tsx"
"H:\","thirdPartyOffscreen_e4157399.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\thirdPartyOffscreen_e4157399.tsx"
"H:\","thirdPartyOffscreen_e4157399.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\EAR_OS_RECONSTRUCCION_FINAL\public\data\thirdPartyOffscreen_e4157399.tsx"
"H:\","thirdPartyOffscreen_e4157399.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\RESCATE_FINAL\PROYECTOS_CODE\thirdPartyOffscreen_e4157399.tsx"
"H:\","thirdPartyOffscreen_4c678bda.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\EAR_OS_RECONSTRUCCION_FINAL\public\data\thirdPartyOffscreen_4c678bda.tsx"
"H:\","thirdPartyOffscreen_4c678bda.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\RESCATE_FINAL\PROYECTOS_CODE\thirdPartyOffscreen_4c678bda.tsx"
"H:\","thirdPartyOffscreen_4c678bda.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\thirdPartyOffscreen_4c678bda.tsx"
"H:\","thirdPartyOffscreen_e4157399.tsx","434,51","09/03/2026 14:20:50","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\thirdPartyOffscreen_e4157399.tsx"
"H:\","thirdPartyOffscreen_e4157399.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\thirdPartyOffscreen_e4157399.tsx"
"H:\","thirdPartyOffscreen_4c678bda.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\thirdPartyOffscreen_4c678bda.tsx"
"H:\","thirdPartyOffscreen_e4157399.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\thirdPartyOffscreen_e4157399.tsx"
"H:\","thirdPartyOffscreen_4c678bda.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\thirdPartyOffscreen_4c678bda.tsx"
"H:\","thirdPartyOffscreen_e4157399.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\thirdPartyOffscreen_e4157399.tsx"
"H:\","thirdPartyOffscreen_4c678bda.tsx","434,51","09/03/2026 14:20:50","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\thirdPartyOffscreen_4c678bda.tsx"
"D:\","thirdPartyOffscreen.tsx","434,51","09/03/2026 14:20:50","D:\BACKUPS\EAR os posible recuperacion\00_PRODUCTORA_EAR\04_SISTEMA_SYM\Chrome_User_Data\Default\Extensions\oiiaigjnkhngdbnoookogelabohpglmd\3.1.0.40259_0\js\init\thirdPartyOffscreen.tsx"
"H:\","thirdPartyOffscreen_4c678bda.tsx","434,51","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\thirdPartyOffscreen_4c678bda.tsx"
"H:\","offscreen_bca71c26.tsx","434,46","09/03/2026 14:20:50","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\offscreen_bca71c26.tsx"
"H:\","offscreen_bca71c26.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen_bca71c26.tsx"
"H:\","offscreen_ce579580.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen_ce579580.tsx"
"H:\","offscreen_bca71c26.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen_bca71c26.tsx"
"H:\","offscreen_ce579580.tsx","434,46","09/03/2026 14:20:50","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\offscreen_ce579580.tsx"
"H:\","offscreen_bca71c26.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen_bca71c26.tsx"
"H:\","offscreen_ce579580.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\RESCATE_FINAL\PROYECTOS_CODE\offscreen_ce579580.tsx"
"H:\","offscreen_ce579580.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen_ce579580.tsx"
"H:\","offscreen_bca71c26.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\RESCATE_FINAL\PROYECTOS_CODE\offscreen_bca71c26.tsx"
"H:\","offscreen_bca71c26.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\offscreen_bca71c26.tsx"
"H:\","offscreen_ce579580.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\offscreen_ce579580.tsx"
"H:\","offscreen_ce579580.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\offscreen_ce579580.tsx"
"H:\","offscreen_bca71c26.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\offscreen_bca71c26.tsx"
"D:\","offscreen.tsx","434,46","09/03/2026 14:20:50","D:\BACKUPS\EAR os posible recuperacion\00_PRODUCTORA_EAR\04_SISTEMA_SYM\Chrome_User_Data\Default\Extensions\oiiaigjnkhngdbnoookogelabohpglmd\3.1.0.40259_0\js\init\offscreen.tsx"
"H:\","offscreen_ce579580.tsx","434,46","09/03/2026 14:20:50","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\offscreen_ce579580.tsx"
"D:\","offscreen.tsx","434,46","09/03/2026 14:20:50","D:\BACKUPS\EAR os posible recuperacion\00_PRODUCTORA_EAR\04_SISTEMA_SYM\Chrome_User_Data\Profile 4\Extensions\oiiaigjnkhngdbnoookogelabohpglmd\3.1.0.40259_0\js\init\offscreen.tsx"
"H:\","EarCommandCenter.tsx","130,01","11/04/2026 15:57:31","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\01_SAAS_RAG_ENGINE\core\src\components\dashboard\EarCommandCenter.tsx"
"H:\","EarCommandCenter.tsx","130","17/04/2026 11:07:17","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\ENGINE_GOLD\src\components\dashboard\EarCommandCenter.tsx"
"H:\","EarCommandCenter.tsx","129,97","04/04/2026 21:12:52","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\src\components\dashboard\EarCommandCenter.tsx"
"H:\","EarCommandCenter.tsx","129,97","04/04/2026 21:12:52","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\src\components\dashboard\EarCommandCenter.tsx"
"H:\","EarCommandCenter.tsx","129,59","23/03/2026 13:38:21","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\ear-gold\productora-ear-app\src\components\dashboard\EarCommandCenter.tsx"
"H:\","EarCommandCenter.tsx","129,59","23/03/2026 13:38:21","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\ear-gold\productora-ear-app\src\components\dashboard\EarCommandCenter.tsx"
"H:\","EarCommandCenter.tsx","129,59","23/03/2026 13:38:21","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\ear-gold\productora-ear-app\src\components\dashboard\EarCommandCenter.tsx"
"H:\","EarCommandCenter.tsx","128,79","27/02/2026 7:41:40","H:\00_PRODUCTORA_EAR\BODEGA_CUARENTENA\EAR_OS_RECONSTRUCCION_FINAL\public\data\EarCommandCenter.tsx"
"H:\","EarCommandCenter.tsx","128,79","27/02/2026 7:41:40","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\EarCommandCenter.tsx"
"H:\","EarCommandCenter_79e39e4b.tsx","128,79","27/02/2026 7:41:40","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\EarCommandCenter_79e39e4b.tsx"
"H:\","EarCommandCenter_071927.tsx","128,79","27/02/2026 7:41:40","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\EarCommandCenter_071927.tsx"
"H:\","EarCommandCenter_484431e5.tsx","128,79","27/02/2026 7:41:40","H:\00 EAR_OS_LEGACY_STAGING\EAR_OS_GOLD\CORE\public\data\EarCommandCenter_484431e5.tsx"
"H:\","EarCommandCenter_071927.tsx","128,79","27/02/2026 7:41:40","H:\00_PRODUCTORA_EAR\SAAS_FINAL_STAGING\VAMPIRE_INBOX\RESCATE_FINAL\PROYECTOS_CODE\EarCommandCenter_071927.tsx"
"H:\","EarCommandCenter_484431e5.tsx","128,79","27/02/2026 7:41:40","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\EarCommandCenter_484431e5.tsx"
"H:\","EarCommandCenter_071927.tsx","128,79","27/02/2026 7:41:40","H:\00_PRODUCTORA_EAR\productora-ear---ecosistema v4\VAMPIRE_INBOX\EAR_OS_RECONSTRUCCION_FINAL\public\data\EarCommandCenter_071927.tsx"
