url,intention,show_type,priority,cluster
/artistas/municipios/landing-42,intencion-42,Show Premium,0.84,B2G
/artistas/pueblos/landing-43,intencion-43,Show Privado,0.84,B2G
/artistas/ayuntamientos/landing-44,intencion-44,Serenata,0.83,B2G
/artistas/centros-de-dia/landing-45,intencion-45,Show Institucional,0.83,B2G
/artistas/residencias/landing-46,intencion-46,Show Cultural,0.83,B2G
/artistas/bodas/landing-47,intencion-47,Show Premium,0.82,B2G
/artistas/aniversarios/landing-48,intencion-48,Show Privado,0.82,B2G
/artistas/cumpleanos/landing-49,intencion-49,Serenata,0.82,B2G
/artistas/ferias/landing-50,intencion-50,Show Institucional,0.81,B2G
/artistas/festivales/landing-51,intencion-51,Show Cultural,0.81,B2C
/artistas/provincias/landing-52,intencion-52,Show Premium,0.80,B2C
/artistas/municipios/landing-53,intencion-53,Show Privado,0.80,B2C
/artistas/pueblos/landing-54,intencion-54,Serenata,0.80,B2C
/artistas/ayuntamientos/landing-55,intencion-55,Show Institucional,0.79,B2C
/artistas/centros-de-dia/landing-56,intencion-56,Show Cultural,0.79,B2C
/artistas/residencias/landing-57,intencion-57,Show Premium,0.78,B2C
/artistas/bodas/landing-58,intencion-58,Show Privado,0.78,B2C
/artistas/aniversarios/landing-59,intencion-59,Serenata,0.78,B2C
/artistas/cumpleanos/landing-60,intencion-60,Show Institucional,0.77,B2C
/artistas/ferias/landing-61,intencion-61,Show Cultural,0.77,B2C
/artistas/festivales/landing-62,intencion-62,Show Premium,0.77,B2C
/artistas/provincias/landing-63,intencion-63,Show Privado,0.76,B2C
/artistas/municipios/landing-64,intencion-64,Serenata,0.76,B2C
/artistas/pueblos/landing-65,intencion-65,Show Institucional,0.75,B2C
/artistas/ayuntamientos/landing-66,intencion-66,Show Cultural,0.75,B2C
/artistas/centros-de-dia/landing-67,intencion-67,Show Premium,0.75,B2C
/artistas/residencias/landing-68,intencion-68,Show Privado,0.74,B2C
/artistas/bodas/landing-69,intencion-69,Serenata,0.74,B2C
/artistas/aniversarios/landing-70,intencion-70,Show Institucional,0.73,B2C
/artistas/cumpleanos/landing-71,intencion-71,Show Cultural,0.73,B2C
/artistas/ferias/landing-72,intencion-72,Show Premium,0.73,B2C
/artistas/festivales/landing-73,intencion-73,Show Privado,0.72,B2C
/artistas/provincias/landing-74,intencion-74,Serenata,0.72,B2C
/artistas/municipios/landing-75,intencion-75,Show Institucional,0.72,B2C
/artistas/pueblos/landing-76,intencion-76,Show Cultural,0.71,B2C
/artistas/ayuntamientos/landing-77,intencion-77,Show Premium,0.71,B2C
/artistas/centros-de-dia/landing-78,intencion-78,Show Privado,0.70,B2C
/artistas/residencias/landing-79,intencion-79,Serenata,0.70,B2C
/artistas/bodas/landing-80,intencion-80,Show Institucional,0.70,B2C
/artistas/aniversarios/landing-81,intencion-81,Show Cultural,0.69,GEO
/artistas/cumpleanos/landing-82,intencion-82,Show Premium,0.69,GEO
/artistas/ferias/landing-83,intencion-83,Show Privado,0.68,GEO
/artistas/festivales/landing-84,intencion-84,Serenata,0.68,GEO
/artistas/provincias/landing-85,intencion-85,Show Institucional,0.68,GEO
/artistas/municipios/landing-86,intencion-86,Show Cultural,0.67,GEO
/artistas/pueblos/landing-87,intencion-87,Show Premium,0.67,GEO
/artistas/ayuntamientos/landing-88,intencion-88,Show Privado,0.67,GEO
/artistas/centros-de-dia/landing-89,intencion-89,Serenata,0.66,GEO
/artistas/residencias/landing-90,intencion-90,Show Institucional,0.66,GEO
/artistas/bodas/landing-91,intencion-91,Show Cultural,0.65,GEO
/artistas/aniversarios/landing-92,intencion-92,Show Premium,0.65,GEO
/artistas/cumpleanos/landing-93,intencion-93,Show Privado,0.65,GEO
/artistas/ferias/landing-94,intencion-94,Serenata,0.64,GEO
/artistas/festivales/landing-95,intencion-95,Show Institucional,0.64,GEO
/artistas/provincias/landing-96,intencion-96,Show Cultural,0.63,GEO
/artistas/municipios/landing-97,intencion-97,Show Premium,0.63,GEO
/artistas/pueblos/landing-98,intencion-98,Show Privado,0.63,GEO
/artistas/ayuntamientos/landing-99,intencion-99,Serenata,0.62,GEO
/artistas/centros-de-dia/landing-100,intencion-100,Show Institucional,0.62,GEO
/artistas/residencias/landing-101,intencion-101,Show Cultural,0.62,GEO
/artistas/bodas/landing-102,intencion-102,Show Premium,0.61,GEO
/artistas/aniversarios/landing-103,intencion-103,Show Privado,0.61,GEO
/artistas/cumpleanos/landing-104,intencion-104,Serenata,0.60,GEO
/artistas/ferias/landing-105,intencion-105,Show Institucional,0.60,GEO
/artistas/festivales/landing-106,intencion-106,Show Cultural,0.60,GEO
/artistas/provincias/landing-107,intencion-107,Show Premium,0.59,GEO
/artistas/municipios/landing-108,intencion-108,Show Privado,0.59,GEO
/artistas/pueblos/landing-109,intencion-109,Serenata,0.58,GEO
/artistas/ayuntamientos/landing-110,intencion-110,Show Institucional,0.58,GEO
/artistas/centros-de-dia/landing-111,intencion-111,Show Cultural,0.58,GEO
/artistas/residencias/landing-112,intencion-112,Show Premium,0.57,GEO
/artistas/bodas/landing-113,intencion-113,Show Privado,0.57,GEO
/artistas/aniversarios/landing-114,intencion-114,Serenata,0.57,GEO
/artistas/cumpleanos/landing-115,intencion-115,Show Institucional,0.56,GEO
/artistas/ferias/landing-116,intencion-116,Show Cultural,0.56,GEO
/artistas/festivales/landing-117,intencion-117,Show Premium,0.55,GEO
/artistas/provincias/landing-118,intencion-118,Show Privado,0.55,GEO
/artistas/municipios/landing-119,intencion-119,Serenata,0.55,GEO
/artistas/pueblos/landing-120,intencion-120,Show Institucional,0.54,GEO
/artistas/ayuntamientos/landing-121,intencion-121,Show Cultural,0.54,GEO
/artistas/centros-de-dia/landing-122,intencion-122,Show Premium,0.53,GEO
/artistas/residencias/landing-123,intencion-123,Show Privado,0.53,GEO
/artistas/bodas/landing-124,intencion-124,Serenata,0.53,GEO
/artistas/aniversarios/landing-125,intencion-125,Show Institucional,0.52,GEO
/artistas/cumpleanos/landing-126,intencion-126,Show Cultural,0.52,GEO
/artistas/ferias/landing-127,intencion-127,Show Premium,0.52,GEO
/artistas/festivales/landing-128,intencion-128,Show Privado,0.51,GEO
/artistas/provincias/landing-129,intencion-129,Serenata,0.51,GEO
/artistas/municipios/landing-130,intencion-130,Show Institucional,0.50,GEO
/artistas/pueblos/landing-131,intencion-131,Show Cultural,0.50,GEO
/artistas/ayuntamientos/landing-132,intencion-132,Show Premium,0.50,GEO
/artistas/centros-de-dia/landing-133,intencion-133,Show Privado,0.49,GEO
/artistas/residencias/landing-134,intencion-134,Serenata,0.49,GEO
/artistas/bodas/landing-135,intencion-135,Show Institucional,0.48,GEO
/artistas/aniversarios/landing-136,intencion-136,Show Cultural,0.48,GEO
/artistas/cumpleanos/landing-137,intencion-137,Show Premium,0.48,GEO
/artistas/ferias/landing-138,intencion-138,Show Privado,0.47,GEO
/artistas/festivales/landing-139,intencion-139,Serenata,0.47,GEO
/artistas/provincias/landing-140,intencion-140,Show Institucional,0.47,GEO
/artistas/municipios/landing-141,intencion-141,Show Cultural,0.46,GEO
/artistas/pueblos/landing-142,intencion-142,Show Premium,0.46,GEO
/artistas/ayuntamientos/landing-143,intencion-143,Show Privado,0.45,GEO
/artistas/centros-de-dia/landing-144,intencion-144,Serenata,0.45,GEO
/artistas/residencias/landing-145,intencion-145,Show Institucional,0.45,GEO
/artistas/bodas/landing-146,intencion-146,Show Cultural,0.44,GEO
/artistas/aniversarios/landing-147,intencion-147,Show Premium,0.44,GEO
/artistas/cumpleanos/landing-148,intencion-148,Show Privado,0.43,GEO
/artistas/ferias/landing-149,intencion-149,Serenata,0.43,GEO
/artistas/festivales/landing-150,intencion-150,Show Institucional,0.43,GEO
/artistas/provincias/landing-151,intencion-151,Show Cultural,0.42,GEO
/artistas/municipios/landing-152,intencion-152,Show Premium,0.42,GEO
/artistas/pueblos/landing-153,intencion-153,Show Privado,0.42,GEO
/artistas/ayuntamientos/landing-154,intencion-154,Serenata,0.41,GEO
/artistas/centros-de-dia/landing-155,intencion-155,Show Institucional,0.41,GEO
/artistas/residencias/landing-156,intencion-156,Show Cultural,0.40,GEO
/artistas/bodas/landing-157,intencion-157,Show Premium,0.40,GEO
/artistas/aniversarios/landing-158,intencion-158,Show Privado,0.40,GEO
/artistas/cumpleanos/landing-159,intencion-159,Serenata,0.39,GEO
/artistas/ferias/landing-160,intencion-160,Show Institucional,0.39,GEO
/artistas/festivales/landing-161,intencion-161,Show Cultural,0.38,GEO
/artistas/provincias/landing-162,intencion-162,Show Premium,0.38,GEO
/artistas/municipios/landing-163,intencion-163,Show Privado,0.38,GEO
/artistas/pueblos/landing-164,intencion-164,Serenata,0.37,GEO
/artistas/ayuntamientos/landing-165,intencion-165,Show Institucional,0.37,GEO
/artistas/centros-de-dia/landing-166,intencion-166,Show Cultural,0.37,GEO
/artistas/residencias/landing-167,intencion-167,Show Premium,0.36,GEO
/artistas/bodas/landing-168,intencion-168,Show Privado,0.36,GEO
/artistas/aniversarios/landing-169,intencion-169,Serenata,0.35,GEO
/artistas/cumpleanos/landing-170,intencion-170,Show Institucional,0.35,GEO
/artistas/ferias/landing-171,intencion-171,Show Cultural,0.35,GEO
/artistas/festivales/landing-172,intencion-172,Show Premium,0.34,GEO
/artistas/provincias/landing-173,intencion-173,Show Privado,0.34,GEO
/artistas/municipios/landing-174,intencion-174,Serenata,0.33,GEO
/artistas/pueblos/landing-175,intencion-175,Show Institucional,0.33,GEO
/artistas/ayuntamientos/landing-176,intencion-176,Show Cultural,0.33,GEO
/artistas/centros-de-dia/landing-177,intencion-177,Show Premium,0.32,GEO
/artistas/residencias/landing-178,intencion-178,Show Privado,0.32,GEO
/artistas/bodas/landing-179,intencion-179,Serenata,0.32,GEO
/artistas/aniversarios/landing-180,intencion-180,Show Institucional,0.31,GEO
/artistas/cumpleanos/landing-181,intencion-181,Show Cultural,0.31,GEO
/artistas/ferias/landing-182,intencion-182,Show Premium,0.30,GEO
/artistas/festivales/landing-183,intencion-183,Show Privado,0.30,GEO
/artistas/provincias/landing-184,intencion-184,Serenata,0.30,GEO
/artistas/municipios/landing-185,intencion-185,Show Institucional,0.29,GEO
/artistas/pueblos/landing-186,intencion-186,Show Cultural,0.29,GEO
/artistas/ayuntamientos/landing-187,intencion-187,Show Premium,0.28,GEO
/artistas/centros-de-dia/landing-188,intencion-188,Show Privado,0.28,GEO
/artistas/residencias/landing-189,intencion-189,Serenata,0.28,GEO
/artistas/bodas/landing-190,intencion-190,Show Institucional,0.27,GEO
/artistas/aniversarios/landing-191,intencion-191,Show Cultural,0.27,GEO
/artistas/cumpleanos/landing-192,intencion-192,Show Premium,0.27,GEO
/artistas/ferias/landing-193,intencion-193,Show Privado,0.26,GEO
/artistas/festivales/landing-194,intencion-194,Serenata,0.26,GEO
/artistas/provincias/landing-195,intencion-195,Show Institucional,0.25,GEO
/artistas/municipios/landing-196,intencion-196,Show Cultural,0.25,GEO
/artistas/pueblos/landing-197,intencion-197,Show Premium,0.25,GEO
/artistas/ayuntamientos/landing-198,intencion-198,Show Privado,0.24,GEO
/artistas/centros-de-dia/landing-199,intencion-199,Serenata,0.24,GEO
/artistas/residencias/landing-200,intencion-200,Show Institucional,0.23,GEO
