Fecha,Clics,Impresiones,CTR,Posición
2026-07-22,0,20,0%,62.8
2026-07-23,0,15,0%,67.7
2026-07-24,0,21,0%,58.7
2026-07-25,0,20,0%,54
2026-07-26,1,21,4.76%,56.2
2026-07-27,0,27,0%,54.3
2026-07-28,0,23,0%,61
2026-07-29,0,34,0%,57.3
2026-07-30,0,38,0%,54
2026-07-31,0,32,0%,63.3
2026-08-01,0,40,0%,56.1
2026-08-02,1,30,3.33%,55.9
2026-08-03,0,26,0%,55
2026-08-04,0,34,0%,61.6
2026-08-05,0,64,0%,59.8
2026-08-06,0,35,0%,58.3
2026-08-07,0,54,0%,49.6
2026-08-08,2,17,11.76%,48.6
2026-08-09,0,16,0%,39.9
2026-08-10,2,22,9.09%,39
2026-08-11,0,13,0%,49.3
2026-08-12,0,11,0%,51.7
2026-08-13,0,13,0%,46.6
2026-08-14,0,13,0%,51.5
2026-08-15,3,19,15.79%,51.4
